fips,county,project,operator,status,power_mw_low,power_mw_high,water_gpd_low,water_gpd_high,flags,notes,source_url,source_title,as_of
48125,Dickens,Helios,Galaxy Digital (CoreWeave tenant),operating,133,1600,,,,"More than 1,000 acres. Phase I completed July 2026, delivering 133 MW of critical IT load to CoreWeave under a 15-year lease; the low figure here is that delivered load. ERCOT approved a further 830 MW in January 2026, taking total approved capacity above 1.6 GW, which is the high figure. Phase 2 permits filed at a combined $3.5 billion. No water figure published.",https://www.kcbd.com/2026/07/10/galaxy-completes-phase-i-its-helios-data-center-campus-delivering-133-megawatts-critical-it-load-coreweave/,"KCBD - Galaxy completes Phase I of Helios, delivering 133 MW to CoreWeave",2026-07
48075,Childress,Childress campus,Crusoe and Lancium,announced,1000,1000,,,,"1 GW campus on 270 acres owned by Lancium, which also develops the site's energy infrastructure. Construction expected to begin Q3 2026. Uses a closed-loop, non-evaporative liquid cooling system; the companies say they will invest in local water infrastructure, but no water figure has been published.",https://www.crusoe.ai/resources/newsroom/crusoe-and-lancium-announce-1-gigawatt-ai-data-center-campus-in-childress-texas,Crusoe - Crusoe and Lancium announce 1.0 GW AI data center campus in Childress,2026-07
48349,Navarro,Corsicana campus,Riot Platforms,operating,400,1000,,,,"265-acre campus designed for 1 GW total capacity. Construction began 2022 and the site became operational in April 2024 with an initial 400 MW, which is the low figure here. No water figure published.",https://baxtel.com/data-center/riot-corsicana-campus,Baxtel - Riot Corsicana Campus data center,2026-07
48121,Denton,Denton data center,Core Scientific,operating,197,,,,,Bitcoin mining site converting toward AI workloads. A 72 MW expansion took operational infrastructure to 197 MW. No water figure published.,https://investors.corescientific.com/news-events/press-releases/detail/5/core-scientific-to-expand-its-denton-texas-bitcoin-mining-data-center-by-72-megawatts,Core Scientific - Expanding the Denton data center by 72 MW,2026-07
48353,Nolan,Nolan County campus,Crusoe Energy Systems,announced,200,,,,,"$7 billion project approved for a 10-year tax abatement by Nolan County commissioners, including a 200 MW facility. No water figure published.",https://ktxs.com/news/local/it-will-change-our-rural-town-tax-abatement-for-7-billion-texas-data-center-approved,KTXS - Tax abatement for $7 billion Texas data center approved,2026-07
48135,Ector,Texas Critical Data Centers,New Era Helium and Sharon AI (joint venture),under construction,250,250,,,,"250 MW net-zero design on a 235-acre site, drawing on Permian Basin natural gas and helium. Phase 1 targets 100 MW online by December 2026. No water figure published.",https://www.businesswire.com/news/home/20250416079296/en/New-Era-Helium-Initiates-Phase-1-of-250MW-Data-Center-Project-and-Launches-Related-Website,Business Wire - New Era Helium initiates Phase 1 of 250 MW data center project,2026-07
48329,Midland,Midland County platform,FO Permian Partners,announced,150,,,,,"320-acre behind-the-meter natural gas platform with 150 MW of ready-now capacity, phase one possibly operational in 2026. The plot sits within a larger 3,200-acre tract the developer says has access to more than 5 GW of gas supply, which is a fuel claim rather than a disclosed IT load. No water figure published.",https://www.datacenterdynamics.com/en/news/fo-permian-partners-unveils-5gw-off-grid-gas-power-solution-for-texas-data-centers/,DCD - FO Permian Partners unveils 5GW off-grid gas power solution,2026-07
48045,Briscoe,Silverton renewable computing site,Soluna,operating,98,98,,,,98 MW of renewable computing built just south of Silverton off Highway 207. The county is separately weighing tax abatements for a further data center proposal. No water figure published.,https://abc7amarillo.com/news/local/wind-farm-revenue-gap-prompts-briscoe-county-to-consider-abatements-for-data-center-plan-silverton-highway-207-karl-shinn-soluna-danny-francis-rank-cogdell,ABC7 Amarillo - Briscoe County considers abatements for data center plan,2026-07
48309,McLennan,McGregor campus,Galaxy Digital,announced,74,74,,,,"500-acre campus acquired in McGregor, reported at 74 MW. No water figure published.",https://www.prnewswire.com/news-releases/galaxy-expands-data-center-footprint-with-acquisition-of-500-acre-campus-in-mcgregor-texas-302836014.html,"PR Newswire - Galaxy acquires 500 acre campus in McGregor, Texas",2026-07
48451,Tom Green,Skybox San Angelo campus,Skybox Datacenters,announced,,,,,undisclosed,"Planned campus on 350 acres. A separate Beacon Data Centers proposal for a Westline site in Dove Creek is also before the county, which rejected a moratorium on large data centers in June 2026. No power or water figure published for either.",https://cleanview.co/data-centers/texas/2180/skybox-san-angelo-campus,"Cleanview - Skybox San Angelo Campus, Tom Green County",2026-07
